State ,Energy Type ,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23
Northern Territory ,non renewable,2912.7,3253.1,3076.6,3130.2,3291,3432.5,2952.7,3007.344,2903.895,3384.935,4298.205,4789.404,4645.465,5023.411,4687.446
Northern Territory ,renewable ,9.7,13.5,14.3,17.4,23.4,33.315,44.304,58.651,87.331,124.884,159.319,210.183,256.144,282.994,319.194
Tasmania,non renewable,769.8,1183.7,1600.9,1623.2,1764.6,1004.7,149.942,948.282,919.37,1004.673,639.056,217.312,205.966,185.438,206.236
Tasmania,renewable ,7827.397,8831.1,9976.5,8994.6,11330.2,12994.756,9480.946,9396.045,9683.9,10740.248,11158.569,11461.179,10370.566,11790.255,10498.456
South Australia,non renewable,12322,11627.5,11014,9809,9439.4,8203.5,7834.749,7685.867,6211.32,7886.034,7408.831,6773.406,5715.687,4506.864,4146.455
South Australia,renewable ,2133.8,2169.4,3155,3599.628,3950.6,4916.465,5191.562,5396.549,5499.925,6937.615,7528.675,8266.039,8977.631,9953.499,11362.41
Western Australia,non renewable,24758.5,26991.9,29881.8,29492.8,29967,34251.4,35159.704,36159.649,37051.041,37987.48,38150.129,38945.516,37351.004,37168.239,36841.251
Western Australia,renewable ,813.4,842.7,1029.1,1735.8,2079.3,2428.186,2622.214,2577.151,2987.911,3190.915,3760.71,4450.522,6164.277,7381.045,7636.963
Queensland,non renewable,60850.8,62105,60833.3,61026.7,59367.7,56674.5,63999.5,63031.85,64495.152,65728.454,63055.128,60766.749,57607.528,55064.589,53579.665
Queensland,renewable ,2487.3,2273.509,2314.7,2636.5,3264.7,3805.465,4117.542,4355.282,4481.666,4988.108,7611.352,10236.245,12607.874,14168.523,17159.297
Victoria,non renewable,53566.3,53240.7,52394.5,53206.2,48576,47362.8,50883.677,48196.949,46362.117,40029.336,38033.936,36980.565,36196.013,34959.893,33411.677
Victoria,renewable ,3123.623,3750.574,5890.122,5047.522,6724.111,6932.353,7137.534,8385.587,9174.092,9328.798,10662.034,12016.336,15293.467,18947.673,21556.086
New South Wales,non renewable,70120.1,69085.5,65536.3,64707.9,62158.2,61518.495,57374.89,60252.593,59619.497,60392.35,60417.819,56774.898,53034.595,50627.581,48489.888
New South Wales,renewable ,2249.277,3922.326,4144.569,4624.525,5827.089,5478.144,5441.551,7976.784,8539.75,9332.271,11142.976,13289.838,17128.232,21471.577,24579.818
